,simulation,pop,mean,std,max,min
0,t30noinputcluster,ln,0.003155438016994231,0.00031560627622050357,0.0038642176563688,0.0025287255823492
1,t30noinputcluster,orn,0.006587014583719937,0.0006532166144640635,0.0080470358407852,0.0052606113783771
2,t30noinputcluster,pn,0.0011139442716223162,9.393687130152884e-05,0.0014314080342006,0.000927134007511
3,t30noinputhalvedsynapses,ln,0.05825615101481344,0.05968060844526494,0.162386669687151,0.0082865801678807
4,t30noinputhalvedsynapses,orn,0.06664047476578046,0.06557707241832998,0.1853327162359779,0.0090769353425024
5,t30noinputhalvedsynapses,pn,0.03477666452186352,0.03597145655840398,0.0971508694779216,-0.007046890182508
6,t30noinputhalvedsynapsespoisson,ln,0.059635475272834006,0.05798620794388855,0.1751088867158678,0.011317532166373
7,t30noinputhalvedsynapsespoisson,orn,0.06805241692081751,0.06516905608756926,0.2126823117600248,0.0121619881613794
8,t30noinputhalvedsynapsespoisson,pn,0.03533534693453962,0.036489235397146165,0.1026959542191621,0.0044864259155272
9,t30noinputhalvedsynapsespoissoncluster,ln,0.09542678062053428,0.01272237780300501,0.1814764363098621,0.080777828886304
10,t30noinputhalvedsynapsespoissoncluster,orn,0.32095477222068536,0.02718134249919673,0.4496806198872679,0.2839110604135751
11,t30noinputhalvedsynapsespoissoncluster,pn,0.015202984507316922,0.003633332474079745,0.04910190115222,0.0115706686947795
12,t30noinputhundrethsynapsespoissoncluster,ln,0.104853047132742,0.014224860094099168,0.2129431482730361,0.0857260327434236
13,t30noinputhundrethsynapsespoissoncluster,orn,0.11918976794969922,0.01319877609072148,0.1901647897311753,0.0985925600637807
14,t30noinputhundrethsynapsespoissoncluster,pn,0.10710381125290085,0.012266159322946002,0.1731499299918838,0.0883410821302217
15,t30noinputpoissoncluster,ln,0.005990142465937028,0.0010531380587493146,0.0091742902861956,0.0046912321314971
16,t30noinputpoissoncluster,orn,0.03945497533078105,0.00682932503256885,0.0566448768035093,0.0301707419686594
17,t30noinputpoissoncluster,pn,0.007242145291710891,0.0033243849437452656,0.0159518231436175,-0.0044251274935026
18,t30noinputquartersynapsespoissoncluster,ln,0.1454519411108456,0.01843530710805238,0.2759671892236899,0.1231235226272977
19,t30noinputquartersynapsespoissoncluster,orn,0.3183506929376054,0.027281639881370254,0.45583566112947,0.2786338855414698
20,t30noinputquartersynapsespoissoncluster,pn,0.009491497441855377,0.002844756686672617,0.036976364332991,0.0074736602323401
21,t30noinputtenthsynapsespoissoncluster,ln,0.2205657339270217,0.02346724031899533,0.3822301121340355,0.1862647273130494
22,t30noinputtenthsynapsespoissoncluster,orn,0.3195318105200866,0.02576972515048064,0.4418423320899748,0.2745752302154815
23,t30noinputtenthsynapsespoissoncluster,pn,0.12324429207358162,0.013057316459553308,0.1755157878420284,0.1026656970567924
